condition,training_seed,global_step,policy_mode,seed,return,length,flag_get,progress,terminated,truncated,decision_cap_reached
baseline,0,1000000,sampled,2000016,233.89500000000035,326,True,1.0,True,False,False
baseline,0,1000000,sampled,2000017,233.91000000000045,327,True,1.0,True,False,False
baseline,0,1000000,sampled,2000018,233.93750000000037,321,True,1.0,True,False,False
baseline,0,1000000,sampled,2000019,234.00750000000036,315,True,1.0,True,False,False
baseline,0,1000000,greedy,4000000,234.02875000000034,315,True,1.0,True,False,False
baseline,0,1100000,sampled,2000000,233.9125000000006,336,True,1.0,True,False,False
baseline,0,1100000,sampled,2000001,233.99750000000034,315,True,1.0,True,False,False
baseline,0,1100000,sampled,2000002,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1100000,sampled,2000003,233.72000000000062,346,True,1.0,True,False,False
baseline,0,1100000,sampled,2000004,28.904999999999973,83,False,0.2390647962591848,True,False,False
baseline,0,1100000,sampled,2000005,233.95875000000046,331,True,1.0,True,False,False
baseline,0,1100000,sampled,2000006,234.0750000000004,320,True,1.0,True,False,False
baseline,0,1100000,sampled,2000007,234.01875000000038,325,True,1.0,True,False,False
baseline,0,1100000,sampled,2000008,234.08000000000038,314,True,1.0,True,False,False
baseline,0,1100000,sampled,2000009,233.96875000000034,329,True,1.0,True,False,False
baseline,0,1100000,sampled,2000010,234.04500000000033,323,True,1.0,True,False,False
baseline,0,1100000,sampled,2000011,233.94750000000047,322,True,1.0,True,False,False
baseline,0,1100000,sampled,2000012,233.9837500000003,327,True,1.0,True,False,False
baseline,0,1100000,sampled,2000013,233.9775000000004,326,True,1.0,True,False,False
baseline,0,1100000,sampled,2000014,233.92875000000035,324,True,1.0,True,False,False
baseline,0,1100000,sampled,2000015,233.85375000000042,340,True,1.0,True,False,False
baseline,0,1100000,sampled,2000016,90.95374999999966,184,False,0.5760521042084168,True,False,False
baseline,0,1100000,sampled,2000017,66.20874999999991,136,False,0.44124916499665995,True,False,False
baseline,0,1100000,sampled,2000018,28.8375,83,False,0.23870407481629918,True,False,False
baseline,0,1100000,sampled,2000019,234.04875000000035,313,True,1.0,True,False,False
baseline,0,1100000,greedy,4000000,234.1350000000004,314,True,1.0,True,False,False
baseline,0,1200000,sampled,2000000,233.9862500000004,321,True,1.0,True,False,False
baseline,0,1200000,sampled,2000001,132.57499999999985,255,False,0.8022712090848363,True,False,False
baseline,0,1200000,sampled,2000002,234.1037500000004,314,True,1.0,True,False,False
baseline,0,1200000,sampled,2000003,233.93250000000043,320,True,1.0,True,False,False
baseline,0,1200000,sampled,2000004,233.82750000000058,334,True,1.0,True,False,False
baseline,0,1200000,sampled,2000005,233.92875000000043,322,True,1.0,True,False,False
baseline,0,1200000,sampled,2000006,233.92875000000038,325,True,1.0,True,False,False
baseline,0,1200000,sampled,2000007,233.9825000000003,319,True,1.0,True,False,False
baseline,0,1200000,sampled,2000008,108.01499999999953,211,False,0.6686706746826987,True,False,False
baseline,0,1200000,sampled,2000009,234.0387500000004,309,True,1.0,True,False,False
baseline,0,1200000,sampled,2000010,233.9687500000003,321,True,1.0,True,False,False
baseline,0,1200000,sampled,2000011,234.0087500000003,315,True,1.0,True,False,False
baseline,0,1200000,sampled,2000012,234.0012500000004,316,True,1.0,True,False,False
baseline,0,1200000,sampled,2000013,234.06000000000043,314,True,1.0,True,False,False
baseline,0,1200000,sampled,2000014,234.05375000000038,309,True,1.0,True,False,False
baseline,0,1200000,sampled,2000015,234.0750000000003,309,True,1.0,True,False,False
baseline,0,1200000,sampled,2000016,234.1300000000004,314,True,1.0,True,False,False
baseline,0,1200000,sampled,2000017,234.1900000000004,309,True,1.0,True,False,False
baseline,0,1200000,sampled,2000018,233.97250000000045,319,True,1.0,True,False,False
baseline,0,1200000,sampled,2000019,132.57499999999985,255,False,0.8022712090848363,True,False,False
baseline,0,1200000,greedy,4000000,234.08000000000038,314,True,1.0,True,False,False
baseline,0,1300000,sampled,2000000,234.08000000000038,314,True,1.0,True,False,False
baseline,0,1300000,sampled,2000001,233.99000000000032,319,True,1.0,True,False,False
baseline,0,1300000,sampled,2000002,233.82750000000058,334,True,1.0,True,False,False
baseline,0,1300000,sampled,2000003,234.0275000000004,314,True,1.0,True,False,False
baseline,0,1300000,sampled,2000004,234.03375000000037,314,True,1.0,True,False,False
baseline,0,1300000,sampled,2000005,234.0275000000004,314,True,1.0,True,False,False
baseline,0,1300000,sampled,2000006,144.80375000000058,334,False,0.8718436873747496,True,False,False
baseline,0,1300000,sampled,2000007,233.99000000000032,319,True,1.0,True,False,False
baseline,0,1300000,sampled,2000008,233.98375000000033,319,True,1.0,True,False,False
baseline,0,1300000,sampled,2000009,234.07000000000036,315,True,1.0,True,False,False
baseline,0,1300000,sampled,2000010,234.04000000000036,314,True,1.0,True,False,False
baseline,0,1300000,sampled,2000011,234.02875000000034,315,True,1.0,True,False,False
baseline,0,1300000,sampled,2000012,234.03375000000037,314,True,1.0,True,False,False
baseline,0,1300000,sampled,2000013,233.94000000000037,324,True,1.0,True,False,False
baseline,0,1300000,sampled,2000014,234.04000000000036,314,True,1.0,True,False,False
baseline,0,1300000,sampled,2000015,234.01500000000038,314,True,1.0,True,False,False
baseline,0,1300000,sampled,2000016,234.03375000000037,314,True,1.0,True,False,False
baseline,0,1300000,sampled,2000017,234.02375000000035,315,True,1.0,True,False,False
baseline,0,1300000,sampled,2000018,234.04000000000036,314,True,1.0,True,False,False
baseline,0,1300000,sampled,2000019,234.01500000000038,314,True,1.0,True,False,False
baseline,0,1300000,greedy,4000000,234.04000000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000000,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000001,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000002,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000003,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000004,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000005,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000006,66.26249999999992,136,False,0.4415364061456246,True,False,False
baseline,0,1400000,sampled,2000007,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000008,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000009,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000010,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000011,234.01500000000038,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000012,234.08000000000038,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000013,234.08000000000038,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000014,234.03375000000037,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000015,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000016,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000017,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,sampled,2000018,233.8987500000005,337,True,1.0,True,False,False
baseline,0,1400000,sampled,2000019,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1400000,greedy,4000000,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000000,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000001,233.98875000000032,319,True,1.0,True,False,False
baseline,0,1500000,sampled,2000002,234.04000000000033,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000003,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000004,137.98124999999993,258,False,0.8313226452905814,True,False,False
baseline,0,1500000,sampled,2000005,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000006,234.08250000000032,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000007,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000008,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000009,234.02875000000034,315,True,1.0,True,False,False
baseline,0,1500000,sampled,2000010,234.08250000000032,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000011,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000012,138.0012499999999,258,False,0.8314295257181031,True,False,False
baseline,0,1500000,sampled,2000013,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000014,234.1900000000004,309,True,1.0,True,False,False
baseline,0,1500000,sampled,2000015,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000016,234.04500000000039,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000017,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000018,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1500000,sampled,2000019,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1500000,greedy,4000000,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1600000,sampled,2000000,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1600000,sampled,2000001,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1600000,sampled,2000002,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1600000,sampled,2000003,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1600000,sampled,2000004,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1600000,sampled,2000005,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1600000,sampled,2000006,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1600000,sampled,2000007,234.03875000000036,314,True,1.0,True,False,False
baseline,0,1600000,sampled,2000008,234.03875000000036,313,True,1.0,True,False,False
